,TBLDC,TBLDL,TBLDR
1,0.517079588,0.42688833,0.428635477
2,0.517079588,0.42688833,0.428635477
3,0.433611851,0.403032045,0.438455336
4,0.700220964,0.443125126,0.458482724
5,0.498273364,0.425847698,0.431861764
6,0.587459403,0.455828785,0.437235876
7,0.400017736,0.460612736,0.495591819
8,0.448004762,0.510881562,0.513983839
9,0.382884893,0.398442355,0.397818797
10,0.771387453,0.475349177,0.468279256
11,0.492877232,0.46399625,0.470270224
12,0.563006177,0.435261565,0.431899873
13,0.542638385,0.459778194,0.454617395
14,0.458980973,0.42417536,0.420183913
15,0.461668497,0.435829185,0.427319619
16,0.544308293,0.408879271,0.410872508
17,0.666350551,0.434423764,0.435817463
18,0.383251071,0.439220471,0.416808332
19,0.377936545,0.424812753,0.430470076
20,0.377936545,0.424812753,0.430470076
21,0.453496631,0.404175686,0.406442154
22,0.454466133,0.472152719,0.48511868
23,0.402530453,0.470514926,0.476755022
24,0.392741413,0.420740327,0.428390035
25,0.382372808,0.404175863,0.412822218
26,0.359245143,0.413530194,0.417064752
27,0.351767706,0.41780205,0.420533825
28,0.416777122,0.385918697,0.376187187
29,0.55701163,0.462341563,0.461491077
30,0.393952107,0.459782186,0.44917184
31,0.423374007,0.333400117,0.363039033
32,0.399252731,0.395899852,0.399259967
33,0.508170272,0.423787897,0.423266948
34,0.398276814,0.398660937,0.401013572
35,0.407741941,0.417846463,0.420039984
36,0.346738274,0.392206176,0.396930221
37,0.485779111,0.434108576,0.436502057
38,0.55198241,0.467608861,0.469016025
39,0.463480707,0.435201829,0.474967328
40,0.55606788,0.476583989,0.480070287
41,0.52561254,0.409983155,0.418326908
42,0.338842632,0.399228305,0.401301914
43,0.374422597,0.382970623,0.402969051
44,0.417664028,0.367372819,0.367309064
45,0.781349427,0.384030425,0.399348129
46,0.605360543,0.397374689,0.403419572
47,0.73026638,0.425668744,0.428838469
48,0.503639381,0.415469428,0.435248433
49,0.834854305,0.593095639,0.565505296
50,0.559462059,0.451391817,0.449610398
51,0.572804831,0.435467372,0.451791553
52,0.663060438,0.480579845,0.484391324
53,0.772136023,0.460427757,0.447325884
54,0.36332419,0.396797023,0.373923107
55,0.364751696,0.364184548,0.388187714
56,0.413766898,0.428448218,0.442216428
